"2022-01"	"0.1401\t19.64\t2.92\t24\t90.4"
"2022-02"	"-0.1359\t19.72\t6.86\t25\t192.2"
"2022-03"	"0.0613\t19.88\t7.19\t31\t222.9"
"2022-04"	"-0.3618\t20.41\t8.06\t29\t241.8"
"2022-05"	"-0.2226\t20.36\t7.04\t29\t218.3"
"2022-06"	"-0.2411\t19.33\t11.6\t30\t347.9"
"2022-07"	"-0.4654\t20.22\t3.56\t30\t110.3"
"2022-08"	"-0.1794\t20.35\t4.32\t28\t134.0"
"2022-09"	"-0.5208\t20.33\t7.66\t30\t229.8"
"2022-10"	"-0.2645\t19.81\t8.83\t27\t273.8"
"2022-11"	"-0.3093\t19.72\t7.71\t30\t231.2"
"2022-12"	"-0.3917\t19.58\t2.25\t26\t69.9"
"2023-01"	"-0.2206\t19.44\t3.44\t25\t106.5"
"2023-02"	"-0.4877\t20.5\t2.02\t24\t56.7"
"2023-03"	"-0.5217\t20.06\t7.4\t31\t229.4"
"2023-04"	"-0.1596\t20.51\t5.01\t29\t150.2"
"2023-05"	"-0.2515\t21.33\t6.58\t26\t203.9"
"2023-06"	"-0.3495\t21.08\t1.79\t22\t53.7"
"2023-07"	"0.0489\t21.38\t1.87\t20\t58.0"
"2023-08"	"-0.2688\t21.85\t2.9\t22\t89.9"
"2023-09"	"-0.2594\t22.33\t2.08\t21\t62.5"
"2023-10"	"-0.2485\t20.94\t7.37\t30\t228.4"
"2023-11"	"-0.241\t21.0\t6.55\t26\t196.5"
"2023-12"	"-0.3722\t21.46\t2.69\t25\t83.5"
"2024-01"	"0.1384\t21.88\t0.95\t17\t29.3"
"2024-02"	"-0.4414\t22.14\t2.98\t27\t86.5"
"2024-03"	"-0.3862\t22.95\t1.97\t29\t61.0"
"2024-04"	"-0.6416\t22.11\t6.64\t28\t199.3"
"2024-05"	"-0.1998\t21.91\t9.39\t31\t291.2"
"2024-06"	"-0.3217\t21.2\t8.74\t28\t262.3"
"2024-07"	"-0.3789\t21.14\t2.66\t26\t82.6"
"2024-08"	"0.0908\t21.42\t4.05\t24\t125.6"
"2024-09"	"-0.5342\t22.25\t3.72\t26\t111.5"
"2024-10"	"-0.3034\t21.34\t6.49\t27\t201.2"
"2024-11"	"-0.3841\t20.52\t10.36\t29\t310.8"
"2024-12"	"-0.2613\t21.23\t3.6\t26\t111.5"
